accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,acc_magnitude,gyro_magnitude,mean_acceleration,std_acceleration,variance_acceleration,signal_magnitude_area,tilt_angle_x,tilt_angle_y,activity,stability,risk_level,fall_detected,fall_type
0.4369,6.1842,1.7665,-1.2415,-20.1096,-3.4496,6.4464,20.4411,2.7959,2.4566,6.035,2.7959,3.8864,73.6029,Standing,Unstable,CRITICAL,1,Side Fall Right
-0.0241,0.0082,9.8186,0.0236,0.2925,0.3077,9.8187,0.4252,3.2676,4.6323,21.4585,3.2837,-0.1408,0.0479,Sitting,Stable,LOW,0,No Fall
0.0011,-0.0214,9.7575,-0.0235,0.0444,-0.1536,9.7575,0.1616,3.2457,4.6045,21.2014,3.26,0.0065,-0.1256,Sitting,Stable,LOW,0,No Fall
5.5611,-0.0577,2.0198,9.4744,2.9103,-4.4489,5.9168,10.864,2.5077,2.3197,5.3809,2.5462,70.0315,-0.5589,Standing,Unstable,CRITICAL,1,Forward Fall
-0.0534,-0.0006,9.7725,0.2336,-0.7591,0.3276,9.7726,0.8591,3.2395,4.6195,21.3402,3.2755,-0.3129,-0.0032,Standing,Stable,LOW,0,No Fall
0.0219,0.0882,9.6789,-0.95,0.4642,-0.1614,9.6793,1.0696,3.263,4.5368,20.5828,3.263,0.1294,0.522,Standing,Stable,LOW,0,No Fall
-0.1131,0.0134,9.8699,0.5326,0.5366,0.2265,9.8705,0.7893,3.2567,4.6765,21.8693,3.3321,-0.6563,0.078,Standing,Stable,LOW,0,No Fall
-0.042,-0.0155,9.8265,0.1951,-0.0958,-0.0371,9.8266,0.2205,3.2564,4.6458,21.5835,3.2946,-0.2447,-0.0901,Sitting,Stable,LOW,0,No Fall
0.0813,0.1356,9.7914,0.6021,0.217,-0.1935,9.7926,0.6686,3.3361,4.5646,20.8358,3.3361,0.4754,0.7935,Standing,Stable,LOW,0,No Fall
0.4875,0.4912,8.5831,2.8767,0.3047,-0.598,8.6109,2.9539,3.1872,3.8154,14.5576,3.1872,3.2452,3.2699,Walking,Stable,LOW,0,No Fall
-0.022,0.0357,9.9773,-0.311,-0.4851,-0.1505,9.9774,0.5955,3.3304,4.7002,22.0917,3.345,-0.1261,0.2051,Standing,Stable,LOW,0,No Fall
0.8204,0.1822,9.3146,1.7964,0.3398,1.9373,9.3524,2.6638,3.4391,4.1628,17.3288,3.4391,5.0324,1.1162,Walking,Stable,LOW,0,No Fall
-0.9041,-0.5553,8.7255,-8.7811,1.7767,1.0442,8.7898,9.0197,2.422,4.4595,19.8873,3.395,-5.9038,-3.6223,Walking,Unstable,MEDIUM,0,No Fall
-0.1328,0.0173,9.7684,-0.0578,0.0906,-0.0332,9.7693,0.1125,3.2176,4.6325,21.4598,3.3061,-0.7786,0.1013,Sitting,Stable,LOW,0,No Fall
-0.0943,0.1404,9.7978,-1.0041,-0.6435,-0.2978,9.7992,1.2292,3.2813,4.6088,21.2415,3.3442,-0.5514,0.8209,Standing,Stable,LOW,0,No Fall
0.003,0.1232,9.7846,0.0603,-0.0069,-0.2337,9.7854,0.2415,3.3036,4.583,21.0042,3.3036,0.0176,0.7212,Sitting,Stable,LOW,0,No Fall
0.9,0.288,9.7769,-3.1829,4.9098,-2.8037,9.8224,6.4882,3.6549,4.3361,18.8014,3.6549,5.2572,1.6801,Walking,Stable,LOW,0,No Fall
-0.0991,-0.0566,9.812,-0.3021,-0.9304,0.0206,9.8126,0.9784,3.2188,4.6621,21.7354,3.3225,-0.5784,-0.3307,Standing,Stable,LOW,0,No Fall
-0.0919,0.155,9.706,-0.1932,0.4881,-0.3693,9.7077,0.6418,3.2564,4.5617,20.8092,3.3176,-0.5427,0.9148,Standing,Stable,LOW,0,No Fall
-0.0626,0.1462,9.591,2.7364,-4.3293,-2.6409,9.5923,5.7624,3.2248,4.5023,20.271,3.2666,-0.374,0.8731,Walking,Stable,LOW,0,No Fall
1.001,0.7929,8.524,1.3935,1.7584,-2.8574,8.6191,3.633,3.4393,3.5964,12.9343,3.4393,6.6691,5.2783,Walking,Unstable,MEDIUM,0,No Fall
0.0087,-0.0608,9.8839,0.265,0.1469,-0.1909,9.8841,0.3581,3.2773,4.6717,21.8248,3.3178,0.0507,-0.3527,Sitting,Stable,LOW,0,No Fall
0.0579,-0.041,9.8771,0.0826,0.1644,0.3794,9.8773,0.4216,3.298,4.6523,21.6438,3.3253,0.336,-0.238,Sitting,Stable,LOW,0,No Fall
-0.0685,-0.0386,9.8703,-0.0479,0.2419,0.1076,9.8706,0.269,3.2544,4.6782,21.8852,3.3258,-0.3976,-0.224,Sitting,Stable,LOW,0,No Fall
-0.1406,-0.0035,9.6844,0.5863,0.0252,-0.0412,9.6855,0.5883,3.1801,4.5996,21.1562,3.2762,-0.832,-0.0204,Standing,Stable,LOW,0,No Fall
-0.0112,0.0357,9.8379,-0.0146,-0.1694,-0.303,9.8379,0.3474,3.2875,4.6319,21.4542,3.2949,-0.0651,0.2079,Sitting,Stable,LOW,0,No Fall
0.5749,-0.2114,9.5606,1.3486,-3.0935,0.3075,9.5802,3.3887,3.308,4.4329,19.6504,3.449,3.4405,-1.2646,Walking,Stable,LOW,0,No Fall
-5.9276,-0.3135,3.2063,-4.493,4.1864,-5.0973,6.7465,7.9809,-1.0116,3.7614,14.1483,3.1491,-61.4767,-2.6637,Standing,Unstable,CRITICAL,1,Backward Fall
-0.1551,-0.051,9.712,0.1172,-0.3336,-0.0383,9.7134,0.3556,3.1686,4.6271,21.41,3.3061,-0.9152,-0.3011,Standing,Stable,LOW,0,No Fall
-0.0462,0.6001,9.08,4.2048,0.5244,0.2818,9.0999,4.2468,3.2113,4.1582,17.2903,3.2421,-0.2909,3.7811,Walking,Stable,LOW,0,No Fall
-0.0996,0.0213,9.7567,0.1554,-0.0095,0.1037,9.7572,0.1871,3.2261,4.6181,21.3265,3.2925,-0.5847,0.1251,Sitting,Stable,LOW,0,No Fall
1.0823,-0.0848,9.4625,-1.7018,5.5754,-0.8679,9.5246,5.8936,3.4867,4.2523,18.0822,3.5432,6.5249,-0.5102,Walking,Stable,LOW,0,No Fall
0.0891,-0.0339,9.6761,-0.0686,0.0368,0.1156,9.6766,0.1394,3.2438,4.5486,20.69,3.2663,0.5274,-0.2006,Sitting,Stable,LOW,0,No Fall
0.1655,-0.0463,9.8104,-0.3557,-0.408,-0.079,9.8119,0.547,3.3099,4.5974,21.1358,3.3407,0.9667,-0.2703,Standing,Stable,LOW,0,No Fall
0.035,0.03,9.7615,-0.4188,-0.084,0.0278,9.7616,0.428,3.2755,4.5863,21.0342,3.2755,0.2052,0.1761,Sitting,Stable,LOW,0,No Fall
0.5036,1.6119,10.3535,2.4832,3.4066,0.5927,10.4903,4.2571,4.1563,4.4053,19.4071,4.1563,2.7518,8.8387,Walking,Unstable,MEDIUM,0,No Fall
2.8449,1.1628,9.5244,10.8537,1.3619,-1.0838,10.008,10.9924,4.5107,3.6111,13.0401,4.5107,16.5147,6.6721,Walking,Unstable,MEDIUM,0,No Fall
0.6755,0.3652,9.2659,-3.0383,-1.9076,-2.5348,9.2976,4.3926,3.4355,4.1246,17.0126,3.4355,4.1664,2.2508,Walking,Stable,LOW,0,No Fall
-0.0772,0.0558,9.7076,0.314,-0.225,0.2564,9.708,0.4636,3.2287,4.5815,20.9905,3.2802,-0.4556,0.3296,Sitting,Stable,LOW,0,No Fall
0.0976,-0.002,9.8424,-0.0368,-0.018,-0.1012,9.8428,0.1092,3.3126,4.6174,21.3203,3.314,0.5679,-0.0117,Sitting,Stable,LOW,0,No Fall
1.0874,-0.3686,10.0638,1.8479,-1.2872,-1.0954,10.1291,2.5043,3.5942,4.6132,21.2812,3.8399,6.1629,-2.0856,Walking,Stable,LOW,0,No Fall
-2.3011,0.5446,9.7577,4.2893,-3.1343,-3.355,10.0402,6.2832,2.6671,5.1467,26.4884,4.2012,-13.2493,3.1094,Standing,Unstable,HIGH,0,No Fall
-0.1545,-0.0843,9.847,-0.0747,-0.1201,0.6074,9.8486,0.6237,3.2028,4.6983,22.0741,3.3619,-0.8989,-0.4903,Standing,Stable,LOW,0,No Fall
0.0202,-0.0805,9.6271,0.1616,1.0882,0.1214,9.6275,1.1068,3.1889,4.5527,20.7267,3.2426,0.1202,-0.4789,Standing,Stable,LOW,0,No Fall
0.5315,0.1207,9.4096,4.1422,-1.769,-2.7136,9.4253,5.2584,3.3539,4.2853,18.3635,3.3539,3.2328,0.7336,Walking,Stable,LOW,0,No Fall
-0.0536,0.1198,9.8712,0.8312,-1.1108,0.9169,9.8721,1.663,3.3125,4.6383,21.5137,3.3482,-0.311,0.695,Walking,Stable,LOW,0,No Fall
